Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
kanzi,kanzi.entropy,ANSRangeEncoder.Symbol,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xMax; bias; cmplFreq; invShift; invFreq
kanzi,kanzi.entropy,ANSRangeEncoder.Symbol,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,ANSRangeEncoder.Symbol,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: xMax; bias; cmplFreq; invShift; invFreq
kanzi,kanzi.entropy,BinaryEntropyDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,BinaryEntropyEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,CMPredictor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,EntropyCodecFactory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NONE_TYPE; HUFFMAN_TYPE; FPAQ_TYPE; PAQ_TYPE; RANGE_TYPE; ANS0_TYPE; CM_TYPE; TPAQ_TYPE; ANS1_TYPE; TPAQX_TYPE; RESERVED1; RESERVED2; RESERVED3; RESERVED4; RESERVED5; RESERVED6
kanzi,kanzi.entropy,EntropyUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INCOMPRESSIBLE_THRESHOLD; FULL_ALPHABET; PARTIAL_ALPHABET; ALPHABET_256; ALPHABET_0; freqs; symbol
kanzi,kanzi.entropy,EntropyUtils.FreqSortData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: freqs; symbol
kanzi,kanzi.entropy,EntropyUtils.FreqSortData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,FastLogisticAdaptiveProbMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,FPAQDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,FPAQEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,HuffmanCommon,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG_MAX_CHUNK_SIZE; MIN_CHUNK_SIZE; MAX_CHUNK_SIZE; MAX_SYMBOL_SIZE_V3; MAX_SYMBOL_SIZE_V4; BUFFER_SIZE
kanzi,kanzi.entropy,HuffmanDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,HuffmanEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,LinearAdaptiveProbMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,NullEntropyDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,NullEntropyEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,RangeDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,RangeEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,RiceGolombDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,RiceGolombEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,TPAQPredictor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,TPAQPredictor.Mixer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.entropy,TPAQPredictor.Mixer,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: BEGIN_LEARN_RATE; END_LEARN_RATE; pr; skew; w0; w1; w2; w3; w4; w5; w6; w7; p0; p1; p2; p3; p4; p5; p6; p7; learnRate
kanzi,kanzi.io,CompressedInputStream.DecodingTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,CompressedInputStream.DecodingTask,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: data; buffer; blockSize; transformType; entropyType; blockId; ibs; hasher; processedBlockId; listeners; ctx
kanzi,kanzi.io,CompressedInputStream.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,CompressedInputStream.Status,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: blockId; decoded; data; skipped; error; msg; checksum; completionTime
kanzi,kanzi.io,CompressedOutputStream.EncodingTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,CompressedOutputStream.EncodingTask,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: data; buffer; length; transformType; entropyType; blockId; obs; hasher; processedBlockId; listeners; ctx
kanzi,kanzi.io,CompressedOutputStream.Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: blockId; error; msg
kanzi,kanzi.io,CompressedOutputStream.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,CompressedOutputStream.CustomByteArrayOutputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
kanzi,kanzi.io,CompressedOutputStream.CustomByteArrayOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,IOException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.io,NullOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,AliasCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,AliasCodec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_BLOCK_SIZE; ctx; val; freq
kanzi,kanzi.transform,AliasCodec.Alias,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: val; freq
kanzi,kanzi.transform,AliasCodec.Alias,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,AliasCodec.Alias,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: val; freq
kanzi,kanzi.transform,BWT.InverseBiPSIv2Task,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,BWT.InverseBiPSIv2Task,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: output; dstIdx; ckSize; total; firstChunk; lastChunk
kanzi,kanzi.transform,BWTBlockCodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,DivSufSort,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 40 methods
kanzi,kanzi.transform,DivSufSort.StackElement,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: a; b; c; d; e
kanzi,kanzi.transform,DivSufSort.StackElement,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,DivSufSort.StackElement,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: a; b; c; d; e
kanzi,kanzi.transform,DivSufSort.Stack,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: array; index
kanzi,kanzi.transform,DivSufSort.Stack,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,DivSufSort.TRBudget,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: chance; remain; incVal; count
kanzi,kanzi.transform,DivSufSort.TRBudget,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,EXECodec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.transform,EXECodec,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 119
